Slice,Count,Total Area,Average Size,%Area,Mean
201708_C05_S1_I1,154,18.021,0.117,9.191,255
201708_C05_S1_I2,28,2.099,0.075,1.070,255
201708_C05_S1_I2,157,22.845,0.146,11.651,255
201708_C05_S1_I3,12,0.973,0.081,0.496,255
201708_C05_S1_I3,231,36.241,0.157,18.483,255
201708_C05_S2_I1,27,1.490,0.055,0.760,255
201708_C05_S2_I1,155,28.194,0.182,14.379,255
201708_C05_S2_I2,40,1.863,0.047,0.950,255
201708_C05_S2_I2,125,22.295,0.178,11.370,255
201708_C05_S2_I3,41,1.565,0.038,0.798,255
201708_C05_S2_I3,173,38.011,0.220,19.386,255
201708_C05_S3_I1,57,1.422,0.025,0.725,255
201708_C05_S3_I1,209,37.287,0.178,19.016,255
201708_C05_S3_I2,43,1.256,0.029,0.640,255
201708_C05_S3_I2,146,19.046,0.130,9.713,255
201708_C05_S3_I3,51,1.878,0.037,0.958,255
201708_C05_S3_I3,193,24.761,0.128,12.628,255
201708_C05_S4_I1,94,2.315,0.025,1.181,255
201708_C05_S4_I1,422,38.934,0.092,19.857,255
201708_C05_S4_I2,57,1.312,0.023,0.669,255
201708_C05_S4_I2,208,25.003,0.120,12.752,255
201708_C05_S4_I3,57,1.303,0.023,0.664,255
201708_C05_S4_I3,231,29.402,0.127,14.995,255
201708_C05_S5_I1,55,1.849,0.034,0.943,255
201708_C05_S5_I1,296,41.349,0.140,21.088,255
201708_C05_S5_I2,46,1.653,0.036,0.843,255
201708_C05_S5_I2,269,38.858,0.144,19.818,255
201708_C05_S5_I3,60,2.380,0.040,1.214,255
201708_C05_S5_I3,135,12.656,0.094,6.455,255
201708_C06_S1_I1,43,2.395,0.056,1.221,255
201708_C06_S1_I1,205,42.777,0.209,21.816,255
201708_C06_S1_I2,34,1.717,0.051,0.876,255
201708_C06_S1_I2,178,18.495,0.104,9.433,255
201708_C06_S1_I3,18,1.140,0.063,0.582,255
201708_C06_S1_I3,132,33.113,0.251,16.888,255
201708_C06_S2_I1,9,1.239,0.138,0.632,255
201708_C06_S2_I1,109,27.681,0.254,14.118,255
201708_C06_S2_I2,7,0.579,0.083,0.295,255
201708_C06_S2_I2,122,31.730,0.260,16.182,255
201708_C06_S2_I3,48,2.863,0.060,1.460,255
201708_C06_S2_I3,176,31.157,0.177,15.890,255
201708_C06_S3_I1,38,1.306,0.034,0.666,255
201708_C06_S3_I1,153,17.735,0.116,9.045,255
201708_C06_S3_I2,28,1.623,0.058,0.828,255
201708_C06_S3_I2,172,29.627,0.172,15.110,255
201708_C06_S3_I3,22,1.179,0.054,0.601,255
201708_C06_S3_I3,150,25.929,0.173,13.224,255
201708_C06_S4_I1,50,1.679,0.034,0.857,255
201708_C06_S4_I1,193,28.978,0.150,14.779,255
201708_C06_S4_I2,32,1.815,0.057,0.925,255
201708_C06_S4_I2,97,15.309,0.158,7.808,255
201708_C06_S4_I3,46,2.040,0.044,1.040,255
201708_C06_S4_I3,156,31.510,0.202,16.070,255
201708_C06_S5_I1,36,1.398,0.039,0.713,255
201708_C06_S5_I1,142,24.861,0.175,12.679,255
201708_C06_S5_I2,62,2.670,0.043,1.362,255
201708_C06_S5_I2,187,27.318,0.146,13.932,255
201708_C06_S5_I3,47,2.079,0.044,1.060,255
201708_C06_S5_I3,137,18.982,0.139,9.681,255
201708_C07_S1_I1,11,2.806,0.255,1.431,255
201708_C07_S1_I1,101,48.112,0.476,24.538,255
201708_C07_S1_I2,14,1.806,0.129,0.921,255
201708_C07_S1_I2,79,38.513,0.488,19.642,255
201708_C07_S1_I3,37,3.247,0.088,1.656,255
201708_C07_S1_I3,76,17.457,0.230,8.903,255
201708_C07_S2_I1,37,2.465,0.067,1.257,255
201708_C07_S2_I1,94,16.825,0.179,8.581,255
201708_C07_S2_I2,14,1.078,0.077,0.550,255
201708_C07_S2_I2,152,29.401,0.193,14.995,255
201708_C07_S2_I3,12,0.965,0.080,0.492,255
201708_C07_S2_I3,63,13.403,0.213,6.835,255
201708_C07_S3_I1,39,1.983,0.051,1.011,255
201708_C07_S3_I1,124,27.367,0.221,13.957,255
201708_C07_S3_I2,17,0.993,0.058,0.506,255
201708_C07_S3_I2,114,27.462,0.241,14.006,255
201708_C07_S3_I3,20,1.054,0.053,0.537,255
201708_C07_S3_I3,139,30.615,0.220,15.614,255
201708_C07_S4_I1,64,2.578,0.040,1.315,255
201708_C07_S4_I1,181,27.479,0.152,14.014,255
201708_C07_S4_I2,36,1.694,0.047,0.864,255
201708_C07_S4_I2,222,31.062,0.140,15.842,255
201708_C07_S4_I3,43,2.084,0.048,1.063,255
201708_C07_S4_I3,111,18.166,0.164,9.265,255
201708_C07_S5_I1,93,3.698,0.040,1.886,255
201708_C07_S5_I1,229,47.744,0.208,24.350,255
201708_C07_S5_I2,68,2.866,0.042,1.462,255
201708_C07_S5_I2,280,56.168,0.201,28.646,255
201708_C07_S5_I3,34,1.423,0.042,0.726,255
201708_C07_S5_I3,143,17.603,0.123,8.978,255
201708_C08_S1_I1,13,3.455,0.266,1.762,255
201708_C08_S1_I1,38,39.370,1.036,20.079,255
201708_C08_S1_I2,13,3.051,0.235,1.556,255
201708_C08_S1_I2,30,37.907,1.264,19.333,255
201708_C08_S1_I3,3,1.754,0.585,0.895,255
