 ,Area,Mean,Min,Max
749,0.105,255,255,255
750,0.062,255,255,255
751,0.112,255,255,255
752,0.128,255,255,255
753,0.036,255,255,255
754,0.048,255,255,255
755,0.059,255,255,255
756,0.018,255,255,255
757,0.060,255,255,255
758,0.027,255,255,255
759,0.159,255,255,255
760,0.042,255,255,255
761,0.054,255,255,255
762,0.071,255,255,255
763,0.022,255,255,255
764,0.173,255,255,255
765,0.290,255,255,255
766,0.061,255,255,255
767,0.643,255,255,255
768,0.046,255,255,255
769,0.315,255,255,255
770,0.215,255,255,255
771,0.023,255,255,255
772,0.062,255,255,255
773,0.101,255,255,255
774,0.285,255,255,255
775,0.013,255,255,255
776,0.033,255,255,255
777,0.075,255,255,255
778,0.175,255,255,255
779,0.196,255,255,255
780,0.025,255,255,255
781,0.155,255,255,255
782,0.120,255,255,255
783,0.034,255,255,255
784,0.105,255,255,255
785,0.065,255,255,255
786,0.115,255,255,255
787,0.081,255,255,255
788,0.064,255,255,255
789,0.016,255,255,255
790,0.050,255,255,255
791,0.266,255,255,255
792,0.051,255,255,255
793,0.148,255,255,255
794,0.036,255,255,255
795,0.013,255,255,255
796,0.387,255,255,255
797,0.157,255,255,255
798,0.074,255,255,255
799,0.039,255,255,255
800,0.083,255,255,255
801,0.038,255,255,255
802,0.036,255,255,255
803,0.135,255,255,255
804,0.045,255,255,255
805,0.089,255,255,255
806,0.227,255,255,255
807,0.378,255,255,255
808,0.031,255,255,255
809,0.053,255,255,255
810,0.241,255,255,255
811,0.040,255,255,255
812,0.125,255,255,255
813,0.172,255,255,255
814,0.090,255,255,255
815,0.026,255,255,255
816,0.080,255,255,255
817,0.040,255,255,255
818,0.079,255,255,255
819,0.082,255,255,255
820,0.332,255,255,255
821,0.060,255,255,255
822,0.032,255,255,255
823,0.032,255,255,255
824,0.085,255,255,255
825,0.100,255,255,255
826,0.039,255,255,255
827,0.103,255,255,255
828,0.111,255,255,255
829,0.045,255,255,255
830,0.098,255,255,255
831,0.016,255,255,255
832,0.193,255,255,255
833,0.495,255,255,255
834,0.050,255,255,255
835,0.048,255,255,255
836,0.129,255,255,255
837,0.119,255,255,255
838,0.150,255,255,255
839,0.109,255,255,255
840,0.053,255,255,255
841,0.070,255,255,255
842,0.066,255,255,255
843,0.065,255,255,255
844,0.036,255,255,255
845,0.011,255,255,255
846,0.041,255,255,255
847,0.012,255,255,255
848,0.026,255,255,255
849,0.051,255,255,255
850,0.046,255,255,255
851,0.013,255,255,255
852,0.097,255,255,255
853,0.019,255,255,255
854,0.016,255,255,255
855,0.011,255,255,255
856,0.012,255,255,255
857,0.086,255,255,255
858,0.018,255,255,255
859,0.024,255,255,255
860,0.011,255,255,255
861,0.046,255,255,255
862,0.193,255,255,255
863,0.018,255,255,255
864,1.061,255,255,255
865,0.094,255,255,255
866,0.391,255,255,255
867,0.147,255,255,255
868,0.026,255,255,255
869,0.061,255,255,255
870,0.029,255,255,255
871,0.326,255,255,255
872,0.673,255,255,255
873,0.052,255,255,255
874,0.045,255,255,255
875,0.096,255,255,255
876,0.042,255,255,255
877,0.787,255,255,255
878,0.132,255,255,255
879,0.068,255,255,255
880,0.113,255,255,255
881,0.081,255,255,255
882,0.030,255,255,255
883,0.126,255,255,255
884,0.098,255,255,255
885,0.066,255,255,255
886,0.072,255,255,255
887,0.108,255,255,255
888,0.056,255,255,255
889,0.119,255,255,255
890,0.126,255,255,255
891,0.385,255,255,255
892,0.263,255,255,255
893,1.416,255,255,255
894,0.157,255,255,255
895,0.097,255,255,255
896,0.541,255,255,255
897,0.654,255,255,255
898,0.306,255,255,255
899,0.075,255,255,255
900,0.025,255,255,255
901,0.076,255,255,255
902,0.123,255,255,255
903,0.549,255,255,255
904,0.104,255,255,255
905,0.092,255,255,255
906,0.320,255,255,255
907,0.148,255,255,255
908,0.122,255,255,255
909,0.056,255,255,255
910,0.077,255,255,255
911,0.152,255,255,255
912,0.066,255,255,255
913,0.058,255,255,255
914,0.251,255,255,255
915,0.086,255,255,255
916,0.265,255,255,255
917,0.081,255,255,255
918,0.094,255,255,255
919,0.043,255,255,255
920,0.043,255,255,255
921,0.373,255,255,255
922,0.042,255,255,255
923,0.050,255,255,255
924,0.187,255,255,255
925,0.194,255,255,255
926,0.011,255,255,255
927,0.223,255,255,255
928,0.195,255,255,255
929,0.078,255,255,255
930,0.331,255,255,255
931,0.118,255,255,255
932,0.148,255,255,255
933,0.276,255,255,255
934,0.201,255,255,255
935,0.097,255,255,255
936,0.157,255,255,255
937,0.141,255,255,255
938,0.112,255,255,255
939,0.118,255,255,255
940,0.078,255,255,255
941,0.034,255,255,255
942,0.455,255,255,255
943,0.587,255,255,255
944,0.099,255,255,255
945,0.129,255,255,255
946,0.046,255,255,255
947,0.260,255,255,255
948,0.044,255,255,255
949,0.107,255,255,255
950,0.066,255,255,255
951,0.107,255,255,255
952,0.371,255,255,255
953,0.171,255,255,255
954,0.067,255,255,255
