control,C6,S3,201409,0.698,0.740,1.969,5.209,17.514,16.355,23.589,17.053,12.123,4.134,0.587,0.014,0.014
control,C6,S4,201409,1.515,3.865,5.746,10.734,28.193,14.873,13.437,8.645,6.934,3.709,1.815,0.522,0.013
control,C6,S5,201409,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
control,C5,S1,201409,34.178,28.282,21.941,11.239,3.762,0.338,0.092,0.092,0.015,0.015,0.015,0.015,0.015
control,C5,S2,201409,11.224,9.293,15.196,18.748,24.279,7.759,6.113,3.316,2.562,1.188,0.297,0.012,0.012
control,C5,S3,201409,0.081,0.326,2.068,6.384,29.235,22.296,20.635,10.798,5.912,2.085,0.147,0.016,0.016
control,C5,S4,201409,0.444,1.936,6.104,14.049,32.105,16.510,13.875,7.287,4.759,2.044,0.699,0.175,0.013
control,C5,S5,201409,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
control,C4,S1,201409,38.612,20.968,20.364,13.486,5.274,0.680,0.321,0.115,0.103,0.038,0.013,0.013,0.013
control,C4,S2,201409,0.207,0.683,4.289,24.464,51.422,9.515,5.083,2.431,1.477,0.381,0.016,0.016,0.016
control,C4,S3,201409,0.016,0.158,1.505,6.590,33.043,20.814,18.359,9.362,7.524,2.249,0.285,0.079,0.016
control,C4,S4,201409,0.469,1.583,6.264,11.563,22.240,12.394,13.427,11.133,11.268,6.707,2.052,0.698,0.201
control,C4,S5,201409,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
control,C3,S1,201409,81.843,12.100,3.794,1.220,0.528,0.230,0.230,0.041,0.014,0.000,0.000,0.000,0.000
control,C3,S2,201409,6.013,8.694,19.653,29.354,25.489,5.317,3.806,1.437,0.222,0.015,0.000,0.000,0.000
control,C3,S3,201409,0.387,0.092,0.700,3.133,20.734,20.512,28.382,18.006,7.538,0.498,0.018,0.000,0.000
control,C3,S4,201409,0.175,0.393,0.990,5.242,22.103,16.657,19.234,15.405,13.031,5.373,1.209,0.189,0.000
control,C3,S5,201409,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
