aug2016_T10,2016-08-09 0:00:00,"T10","Corbett  Walsh  Chase  Gibbons  Kelly","6:28:00","12:54:00",2.0,11.0,40.0,80.0,200.0,40.0,160.0,120.0,,,90.0,80.0,"1-3",26.0,,14:33:00
aug2016_T11,2016-08-09 0:00:00,"T11","Corbett  Walsh  Chase  Gibbons  Kelly","6:28:00","12:54:00",3.0,13.0,40.0,140.0,160.0,20.0,120.0,180.0,,30.0,,,,,,14:45:00
aug2016_T12,2016-08-09 0:00:00,"T12","Corbett  Walsh  Chase  Gibbons  Kelly","6:28:00","12:54:00",3.0,11.0,20.0,40.0,140.0,20.0,180.0,300.0,18.0,40.0,,,,,,14:52:00
aug2016_T13,2016-08-09 0:00:00,"T13","Corbett  Walsh  Chase  Gibbons  Kelly","6:28:00","12:54:00",3.0,13.0,30.0,80.0,160.0,30.0,140.0,200.0,,40.0,,,,,,15:00:00
aug2016_T14,2016-08-09 0:00:00,"T14","Corbett  Walsh  Chase  Gibbons  Kelly","6:28:00","12:54:00",3.0,12.0,20.0,100.0,200.0,20.0,120.0,220.0,,30.0,,,,,,15:10:00
aug2016_T15,2016-08-09 0:00:00,"T15","Corbett  Walsh  Chase  Gibbons  Kelly","6:28:00","12:54:00",3.0,15.0,20.0,100.0,280.0,40.0,140.0,300.0,,40.0,88.0,80.0,"2-3",25.0,,15:33:00
aug2016_T16,2016-08-09 0:00:00,"T16","Corbett  Walsh  Chase  Gibbons  Kelly","6:28:00","12:54:00",5.0,14.0,40.0,120.0,260.0,40.0,80.0,200.0,,50.0,88.0,81.0,"2-3",25.0,"14 inch berm; scarp nearby",15:33:00
aug2016_T2,2016-08-09 0:00:00,"T2","Corbett  Walsh  Chase  Gibbons  Kelly","6:28:00","12:54:00",5.0,20.0,20.0,40.0,180.0,40.0,120.0,120.0,,,,,,,,13:24:00
aug2016_T3,2016-08-09 0:00:00,"T3","Corbett  Walsh  Chase  Gibbons  Kelly","6:28:00","12:54:00",5.0,12.0,40.0,100.0,200.0,30.0,80.0,240.0,,40.0,,,,,,13:33:00
aug2016_T4,2016-08-09 0:00:00,"T4","Corbett  Walsh  Chase  Gibbons  Kelly","6:28:00","12:54:00",5.0,18.0,20.0,60.0,160.0,40.0,120.0,280.0,,40.0,,,,,,13:41:00
aug2016_T5,2016-08-09 0:00:00,"T5","Corbett  Walsh  Chase  Gibbons  Kelly","6:28:00","12:54:00",4.0,17.0,20.0,60.0,100.0,20.0,140.0,220.0,,40.0,88.0,82.0,"1-3",26.0,"ghost crabs are near top of swash",13:50:00
